,date,code,close
4137,2017-07-13,A065650,4826.72
4138,2017-07-13,A039560,5340.0
4139,2017-07-13,A042110,2155.0
4140,2017-07-13,A155660,6790.0
4141,2017-07-13,A069730,6840.0
4142,2017-07-13,A119850,4954.45
4143,2017-07-13,A002140,2865.0
4144,2017-07-13,A115500,4450.0
4145,2017-07-13,A035890,1190.0
4146,2017-07-13,A096630,2585.0
4147,2017-07-14,A155660,6600.0
4148,2017-07-14,A039560,5350.0
4149,2017-07-14,A002140,2785.0
4150,2017-07-14,A065650,4710.18
4151,2017-07-14,A096630,2635.0
4152,2017-07-14,A042110,2110.0
4153,2017-07-14,A115500,4385.0
4154,2017-07-14,A119850,4929.1
4155,2017-07-14,A102120,7800.0
4156,2017-07-14,A035890,1205.0
4157,2017-07-14,A069730,6610.0
4158,2017-07-17,A115500,4600.0
4159,2017-07-17,A035890,1205.0
4160,2017-07-17,A069730,6390.0
4161,2017-07-17,A102120,8000.0
4162,2017-07-17,A119850,4792.18
4163,2017-07-17,A155660,6530.0
4164,2017-07-17,A002140,2745.0
4165,2017-07-17,A042110,2110.0
4166,2017-07-17,A039560,5350.0
4167,2017-07-17,A065650,4952.97
4168,2017-07-17,A096630,2655.0
4169,2017-07-18,A096630,2625.0
4170,2017-07-18,A069730,6280.0
4171,2017-07-18,A155660,6480.0
4172,2017-07-18,A115500,4775.0
4173,2017-07-18,A119850,4995.02
4174,2017-07-18,A039560,5300.0
4175,2017-07-18,A035890,1195.0
4176,2017-07-18,A065650,4884.99
4177,2017-07-18,A102120,8100.0
4178,2017-07-18,A002140,2760.0
4179,2017-07-18,A042110,2110.0
4180,2017-07-19,A069730,6580.0
4181,2017-07-19,A119850,5121.8
4182,2017-07-19,A039560,5280.0
4183,2017-07-19,A096630,2665.0
4184,2017-07-19,A035890,1205.0
4185,2017-07-19,A155660,6590.0
4186,2017-07-19,A115500,4780.0
4187,2017-07-19,A102120,8290.0
4188,2017-07-19,A042110,2120.0
4189,2017-07-19,A065650,5011.24
4190,2017-07-19,A002140,2890.0
4191,2017-07-20,A065650,4952.97
4192,2017-07-20,A102120,8380.0
4193,2017-07-20,A096630,2620.0
4194,2017-07-20,A042110,2140.0
4195,2017-07-20,A119850,5121.8
4196,2017-07-20,A002140,2845.0
4197,2017-07-20,A035890,1250.0
4198,2017-07-20,A069730,6470.0
4199,2017-07-20,A115500,4770.0
4200,2017-07-20,A155660,6570.0
4201,2017-07-20,A039560,5400.0
4202,2017-07-21,A069730,6620.0
4203,2017-07-21,A102120,8320.0
4204,2017-07-21,A035890,1255.0
4205,2017-07-21,A115500,4755.0
4206,2017-07-21,A042110,2140.0
4207,2017-07-21,A039560,5440.0
4208,2017-07-21,A002140,2905.0
4209,2017-07-21,A065650,4952.97
4210,2017-07-21,A119850,5121.8
4211,2017-07-21,A155660,6630.0
4212,2017-07-21,A096630,2650.0
4213,2017-07-24,A002140,3060.0
4214,2017-07-24,A069730,6790.0
4215,2017-07-24,A102120,8270.0
